,season,team,player
607,2012,Mumbai Indians,Harbhajan Singh
608,2017,Delhi Daredevils,SW Billings
609,2019,Rajasthan Royals,K Gowtham
610,2017,Gujarat Lions,AJ Finch
611,2014,Kolkata Knight Riders,R Vinay Kumar
612,2010,Chennai Super Kings,M Muralitharan
613,2010,Kings XI Punjab,RR Powar
614,2010,Mumbai Indians,DS Kulkarni
615,2017,Delhi Daredevils,AR Bawne
616,2009,Mumbai Indians,SS Tiwary
617,2016,Royal Challengers Bangalore,AF Milne
618,2009,Deccan Chargers,DB Ravi Teja
619,2014,Royal Challengers Bangalore,RR Rossouw
620,2017,Sunrisers Hyderabad,Mohammad Nabi
621,2017,Sunrisers Hyderabad,DJ Hooda
622,2013,Chennai Super Kings,JA Morkel
623,2009,Royal Challengers Bangalore,A Mithun
624,2011,Rajasthan Royals,LRPL Taylor
625,2011,Kings XI Punjab,L Ablish
626,2009,Kolkata Knight Riders,AN Ghosh
627,2013,Mumbai Indians,AT Rayudu
628,2016,Gujarat Lions,DW Steyn
629,2013,Rajasthan Royals,MDKJ Perera
630,2015,Royal Challengers Bangalore,DJG Sammy
631,2008,Rajasthan Royals,Younis Khan
632,2010,Kolkata Knight Riders,MK Tiwary
633,2013,Royal Challengers Bangalore,KB Arun Karthik
634,2017,Delhi Daredevils,CR Brathwaite
635,2009,Kings XI Punjab,IK Pathan
636,2019,Delhi Capitals,P Shaw
637,2017,Gujarat Lions,Ankit Soni
638,2014,Mumbai Indians,KA Pollard
639,2018,Chennai Super Kings,SK Raina
640,2011,Royal Challengers Bangalore,Z Khan
641,2012,Kolkata Knight Riders,Iqbal Abdulla
642,2018,Kolkata Knight Riders,RV Uthappa
643,2013,Pune Warriors,M Rawat
644,2016,Sunrisers Hyderabad,S Dhawan
645,2018,Kings XI Punjab,AJ Finch
646,2017,Mumbai Indians,HH Pandya
647,2012,Kolkata Knight Riders,MS Bisla
648,2010,Kings XI Punjab,SJ Srivastava
649,2016,Gujarat Lions,S Ladda
650,2014,Rajasthan Royals,PV Tambe
651,2018,Delhi Daredevils,R Tewatia
652,2012,Deccan Chargers,DJ Harris
653,2010,Deccan Chargers,TL Suman
654,2015,Chennai Super Kings,A Nehra
655,2016,Rising Pune Supergiants,JA Morkel
656,2012,Deccan Chargers,B Chipli
657,2011,Mumbai Indians,RG Sharma
658,2009,Royal Challengers Bangalore,R Bishnoi
659,2019,Chennai Super Kings,Imran Tahir
660,2008,Mumbai Indians,MK Pandey
661,2016,Gujarat Lions,ER Dwivedi
662,2017,Rising Pune Supergiant,Ankit Sharma
663,2013,Mumbai Indians,KA Pollard
664,2015,Royal Challengers Bangalore,SA Abbott
665,2008,Chennai Super Kings,S Anirudha
666,2010,Delhi Daredevils,MC Henriques
667,2014,Mumbai Indians,AT Rayudu
668,2013,Sunrisers Hyderabad,KC Sangakkara
669,2010,Rajasthan Royals,AG Paunikar
670,2014,Kings XI Punjab,M Kartik
671,2019,Delhi Capitals,K Paul
672,2012,Mumbai Indians,PP Ojha
673,2016,Kings XI Punjab,KC Cariappa
674,2011,Rajasthan Royals,SK Warne
675,2015,Mumbai Indians,UBT Chand
676,2009,Kings XI Punjab,TM Srivastava
677,2011,Delhi Daredevils,VR Aaron
678,2008,Chennai Super Kings,M Muralitharan
679,2011,Deccan Chargers,DB Ravi Teja
680,2013,Delhi Daredevils,UBT Chand
681,2010,Deccan Chargers,Harmeet Singh
682,2015,Chennai Super Kings,SK Raina
683,2017,Royal Challengers Bangalore,Mandeep Singh
684,2009,Chennai Super Kings,JDP Oram
685,2018,Kolkata Knight Riders,R Singh
686,2019,Chennai Super Kings,DL Chahar
687,2012,Royal Challengers Bangalore,RR Bhatkal
688,2018,Kolkata Knight Riders,N Rana
689,2015,Chennai Super Kings,MS Dhoni
690,2017,Royal Challengers Bangalore,SR Watson
691,2019,Kolkata Knight Riders,KC Cariappa
692,2009,Chennai Super Kings,MS Gony
693,2016,Kings XI Punjab,MG Johnson
694,2016,Sunrisers Hyderabad,A Nehra
695,2011,Delhi Daredevils,M Morkel
696,2014,Delhi Daredevils,JD Unadkat
697,2015,Kings XI Punjab,Gurkeerat Singh
698,2015,Mumbai Indians,M de Lange
699,2008,Kolkata Knight Riders,T Taibu
700,2011,Delhi Daredevils,MS Wade
701,2008,Rajasthan Royals,SR Watson
702,2010,Kolkata Knight Riders,DJ Hussey
703,2011,Delhi Daredevils,UBT Chand
704,2014,Delhi Daredevils,KM Jadhav
705,2016,Kings XI Punjab,Gurkeerat Singh
706,2012,Royal Challengers Bangalore,AB McDonald
707,2010,Kolkata Knight Riders,Mandeep Singh
708,2013,Delhi Daredevils,KM Jadhav
709,2017,Kolkata Knight Riders,Shakib Al Hasan
710,2015,Kolkata Knight Riders,RN ten Doeschate
711,2012,Rajasthan Royals,AA Chavan
712,2019,Delhi Capitals,CH Morris
713,2013,Delhi Daredevils,S Kaul
714,2011,Mumbai Indians,TL Suman
715,2009,Chennai Super Kings,M Muralitharan
716,2018,Mumbai Indians,JP Duminy
717,2015,Kings XI Punjab,V Sehwag
718,2017,Mumbai Indians,KH Pandya
719,2017,Kolkata Knight Riders,UT Yadav
720,2018,Kings XI Punjab,AR Patel
721,2018,Mumbai Indians,KA Pollard
722,2016,Gujarat Lions,SK Raina
723,2018,Royal Challengers Bangalore,M Ashwin
724,2013,Kolkata Knight Riders,Iqbal Abdulla
725,2008,Mumbai Indians,A Nehra
726,2014,Kolkata Knight Riders,JH Kallis
727,2013,Kings XI Punjab,AD Mascarenhas
728,2009,Rajasthan Royals,Niraj Patel
729,2014,Sunrisers Hyderabad,JO Holder
730,2008,Royal Challengers Bangalore,SP Goswami
731,2013,Chennai Super Kings,DP Nannes
732,2014,Sunrisers Hyderabad,KL Rahul
733,2012,Deccan Chargers,DB Ravi Teja
734,2019,Kolkata Knight Riders,AD Russell
735,2011,Royal Challengers Bangalore,V Kohli
736,2016,Kings XI Punjab,AR Patel
737,2010,Deccan Chargers,RP Singh
738,2019,Mumbai Indians,HH Pandya
739,2018,Delhi Daredevils,JJ Roy
740,2016,Kings XI Punjab,Swapnil Singh
741,2011,Pune Warriors,SS Mundhe
742,2015,Mumbai Indians,AP Tare
743,2017,Rising Pune Supergiant,LH Ferguson
744,2016,Delhi Daredevils,JP Duminy
745,2018,Sunrisers Hyderabad,Shakib Al Hasan
746,2011,Kochi Tuskers Kerala,BJ Hodge
747,2009,Mumbai Indians,Z Khan
748,2016,Rising Pune Supergiants,KP Pietersen
749,2019,Rajasthan Royals,S Midhun
750,2011,Kings XI Punjab,PC Valthaty
751,2018,Chennai Super Kings,M Wood
752,2018,Rajasthan Royals,D Short
753,2017,Rising Pune Supergiant,F du Plessis
754,2018,Delhi Daredevils,S Lamichhane
755,2012,Kings XI Punjab,Harmeet Singh
756,2016,Delhi Daredevils,A Mishra
757,2014,Kolkata Knight Riders,Shakib Al Hasan
758,2010,Deccan Chargers,A Symonds
759,2017,Delhi Daredevils,Z Khan
760,2008,Deccan Chargers,RG Sharma
761,2014,Chennai Super Kings,BB McCullum
762,2012,Kings XI Punjab,PP Chawla
763,2009,Mumbai Indians,Harbhajan Singh
764,2012,Pune Warriors,AC Thomas
765,2014,Kings XI Punjab,V Sehwag
766,2009,Kolkata Knight Riders,Anureet Singh
767,2019,Rajasthan Royals,JC Buttler
768,2008,Mumbai Indians,SM Pollock
769,2009,Rajasthan Royals,T Henderson
770,2014,Rajasthan Royals,BJ Hodge
771,2014,Kings XI Punjab,Sandeep Sharma
772,2017,Rising Pune Supergiant,RD Chahar
773,2011,Rajasthan Royals,AM Rahane
774,2009,Kolkata Knight Riders,SC Ganguly
775,2009,Mumbai Indians,C Nanda
776,2014,Chennai Super Kings,F du Plessis
777,2012,Delhi Daredevils,M Morkel
778,2013,Royal Challengers Bangalore,R Rampaul
779,2017,Sunrisers Hyderabad,S Kaul
780,2012,Rajasthan Royals,AM Rahane
781,2011,Pune Warriors,JE Taylor
782,2019,Delhi Capitals,S Lamichhane
783,2015,Royal Challengers Bangalore,S Aravind
784,2011,Mumbai Indians,AG Murtaza
785,2013,Rajasthan Royals,AM Rahane
786,2009,Kolkata Knight Riders,Yashpal Singh
787,2017,Rising Pune Supergiant,MA Agarwal
788,2013,Delhi Daredevils,J Botha
789,2012,Deccan Chargers,A Ashish Reddy
790,2011,Delhi Daredevils,AB McDonald
791,2018,Mumbai Indians,Mustafizur Rahman
792,2012,Mumbai Indians,KA Pollard
793,2012,Delhi Daredevils,DAJ Bracewell
794,2016,Delhi Daredevils,KK Nair
795,2010,Mumbai Indians,Z Khan
796,2015,Mumbai Indians,CJ Anderson
797,2008,Deccan Chargers,LPC Silva
798,2017,Kolkata Knight Riders,PP Chawla
799,2013,Pune Warriors,IC Pandey
800,2018,Chennai Super Kings,F du Plessis
801,2012,Kings XI Punjab,P Kumar
802,2011,Rajasthan Royals,FY Fazal
803,2010,Kings XI Punjab,K Goel
804,2010,Mumbai Indians,STR Binny
805,2011,Mumbai Indians,RW Price
806,2013,Kolkata Knight Riders,EJG Morgan
807,2016,Kolkata Knight Riders,G Gambhir
808,2014,Delhi Daredevils,S Nadeem
809,2013,Mumbai Indians,KD Karthik
810,2018,Royal Challengers Bangalore,YS Chahal
811,2011,Delhi Daredevils,S Sriram
812,2014,Chennai Super Kings,DJ Hussey
813,2018,Royal Challengers Bangalore,Mohammed Siraj
814,2014,Kolkata Knight Riders,YK Pathan
815,2019,Royal Challengers Bangalore,Mohammed Siraj
816,2013,Pune Warriors,UA Birla
817,2010,Kolkata Knight Riders,BAW Mendis
818,2018,Sunrisers Hyderabad,A Hales
819,2019,Delhi Capitals,C Munro
820,2008,Deccan Chargers,DB Ravi Teja
821,2011,Pune Warriors,Harpreet Singh
822,2017,Kings XI Punjab,KC Cariappa
823,2008,Royal Challengers Bangalore,LRPL Taylor
824,2014,Kings XI Punjab,BE Hendricks
825,2009,Delhi Daredevils,VY Mahesh
826,2009,Chennai Super Kings,SK Raina
827,2014,Kolkata Knight Riders,RV Uthappa
828,2019,Rajasthan Royals,L Livingstone
829,2018,Royal Challengers Bangalore,M Ali
830,2010,Mumbai Indians,Harbhajan Singh
831,2019,Royal Challengers Bangalore,AB de Villiers
832,2011,Chennai Super Kings,MS Dhoni
833,2014,Mumbai Indians,MEK Hussey
834,2017,Sunrisers Hyderabad,S Dhawan
835,2019,Mumbai Indians,Ishan Kishan
836,2017,Kings XI Punjab,HM Amla
837,2008,Royal Challengers Bangalore,R Vinay Kumar
838,2009,Delhi Daredevils,A Nehra
839,2017,Gujarat Lions,Basil Thampi
840,2019,Royal Challengers Bangalore,N Saini
841,2015,Sunrisers Hyderabad,GH Vihari
842,2013,Royal Challengers Bangalore,J Syed Mohammad
843,2008,Delhi Daredevils,TM Dilshan
844,2009,Rajasthan Royals,SD Chitnis
845,2015,Kings XI Punjab,WP Saha
846,2009,Chennai Super Kings,Joginder Sharma
847,2017,Royal Challengers Bangalore,AB de Villiers
848,2008,Kings XI Punjab,S Sreesanth
849,2015,Sunrisers Hyderabad,MC Henriques
850,2010,Delhi Daredevils,DL Vettori
851,2015,Royal Challengers Bangalore,RR Rossouw
852,2018,Delhi Daredevils,C Munro
853,2012,Deccan Chargers,MS Gony
854,2012,Kolkata Knight Riders,BB McCullum
855,2011,Rajasthan Royals,SK Trivedi
856,2009,Rajasthan Royals,AS Raut
857,2010,Royal Challengers Bangalore,R Vinay Kumar
858,2018,Kings XI Punjab,MA Agarwal
859,2013,Kolkata Knight Riders,MK Tiwary
860,2010,Kolkata Knight Riders,SE Bond
861,2015,Chennai Super Kings,IC Pandey
862,2016,Delhi Daredevils,SW Billings
863,2017,Gujarat Lions,PJ Sangwan
864,2016,Delhi Daredevils,J Yadav
865,2018,Sunrisers Hyderabad,Mohammad Nabi
866,2018,Royal Challengers Bangalore,Q de Kock
867,2018,Rajasthan Royals,SV Samson
868,2014,Delhi Daredevils,M Vijay
869,2018,Delhi Daredevils,Ankit Sharma
870,2016,Rising Pune Supergiants,A Zampa
871,2012,Pune Warriors,K Upadhyay
872,2013,Pune Warriors,MK Pandey
873,2016,Kolkata Knight Riders,JO Holder
874,2017,Gujarat Lions,DS Kulkarni
875,2016,Gujarat Lions,PV Tambe
876,2012,Delhi Daredevils,Y Venugopal Rao
877,2009,Kolkata Knight Riders,BB McCullum
878,2008,Chennai Super Kings,A Mukund
879,2011,Kolkata Knight Riders,JD Unadkat
880,2010,Delhi Daredevils,A Mishra
881,2010,Delhi Daredevils,G Gambhir
882,2009,Chennai Super Kings,A Flintoff
883,2010,Kolkata Knight Riders,WP Saha
884,2011,Kochi Tuskers Kerala,R Vinay Kumar
885,2011,Royal Challengers Bangalore,DP Nannes
886,2015,Mumbai Indians,KA Pollard
887,2008,Kings XI Punjab,RR Sarwan
888,2019,Mumbai Indians,BCJ Cutting
889,2009,Chennai Super Kings,S Badrinath
890,2014,Mumbai Indians,BR Dunk
891,2009,Delhi Daredevils,DP Nannes
892,2012,Delhi Daredevils,AJ Finch
893,2013,Rajasthan Royals,OA Shah
894,2014,Delhi Daredevils,Mohammed Shami
895,2018,Royal Challengers Bangalore,CR Woakes
896,2008,Deccan Chargers,SB Styris
897,2018,Kings XI Punjab,AS Rajpoot
898,2009,Kings XI Punjab,RR Bose
899,2009,Kings XI Punjab,WA Mota
900,2019,Sunrisers Hyderabad,DA Warner
901,2019,Kings XI Punjab,AS Rajpoot
902,2018,Mumbai Indians,RG Sharma
903,2014,Kings XI Punjab,GJ Maxwell
904,2010,Delhi Daredevils,TM Dilshan
905,2017,Delhi Daredevils,AD Mathews
906,2018,Delhi Daredevils,GJ Maxwell
907,2011,Chennai Super Kings,M Vijay
908,2012,Pune Warriors,CJ Ferguson
909,2016,Mumbai Indians,PA Patel
910,2017,Kolkata Knight Riders,C de Grandhomme
911,2011,Royal Challengers Bangalore,CH Gayle
912,2012,Rajasthan Royals,SR Watson
913,2019,Kings XI Punjab,S Curran
914,2019,Delhi Capitals,H Vihari
915,2009,Chennai Super Kings,JA Morkel
916,2017,Sunrisers Hyderabad,CJ Jordan
917,2012,Deccan Chargers,AA Jhunjhunwala
918,2013,Pune Warriors,BAW Mendis
919,2019,Sunrisers Hyderabad,DJ Hooda
920,2012,Chennai Super Kings,BW Hilfenhaus
921,2011,Chennai Super Kings,SB Styris
922,2008,Kings XI Punjab,SE Marsh
923,2008,Kings XI Punjab,Gagandeep Singh
924,2017,Kolkata Knight Riders,NM Coulter-Nile
925,2014,Kolkata Knight Riders,AD Russell
926,2012,Mumbai Indians,RG Sharma
927,2018,Mumbai Indians,PJ Sangwan
928,2019,Rajasthan Royals,I Sodhi
929,2018,Mumbai Indians,JJ Bumrah
930,2019,Kings XI Punjab,A Singh
931,2016,Royal Challengers Bangalore,CJ Jordan
932,2010,Rajasthan Royals,P Dogra
933,2010,Mumbai Indians,AM Nayar
934,2008,Royal Challengers Bangalore,R Dravid
935,2011,Kings XI Punjab,AC Gilchrist
936,2013,Kolkata Knight Riders,P Dogra
937,2017,Kings XI Punjab,MJ Henry
938,2016,Kolkata Knight Riders,PP Chawla
939,2009,Mumbai Indians,RR Raje
940,2013,Chennai Super Kings,S Anirudha
941,2014,Rajasthan Royals,TG Southee
942,2016,Delhi Daredevils,MA Agarwal
943,2008,Chennai Super Kings,MS Gony
944,2016,Gujarat Lions,DS Kulkarni
945,2015,Sunrisers Hyderabad,A Ashish Reddy
946,2018,Rajasthan Royals,STR Binny
947,2016,Sunrisers Hyderabad,DA Warner
948,2010,Mumbai Indians,AG Murtaza
949,2013,Mumbai Indians,YS Chahal
950,2018,Mumbai Indians,A Dananjaya
951,2015,Royal Challengers Bangalore,KD Karthik
952,2014,Mumbai Indians,AP Tare
953,2012,Deccan Chargers,DW Steyn
954,2016,Delhi Daredevils,CH Morris
955,2011,Rajasthan Royals,DH Yagnik
956,2018,Kings XI Punjab,KK Nair
957,2012,Deccan Chargers,IR Jaggi
958,2019,Delhi Capitals,I Sharma
959,2014,Mumbai Indians,RG Sharma
960,2010,Chennai Super Kings,SK Raina
961,2011,Chennai Super Kings,S Badrinath
962,2015,Kolkata Knight Riders,Shakib Al Hasan
963,2016,Gujarat Lions,BB McCullum
964,2008,Chennai Super Kings,SP Fleming
965,2017,Gujarat Lions,MS Gony
966,2009,Kolkata Knight Riders,AD Mathews
967,2016,Rising Pune Supergiants,DL Chahar
968,2010,Deccan Chargers,RJ Harris
969,2019,Delhi Capitals,TA Boult
970,2009,Chennai Super Kings,PA Patel
971,2017,Gujarat Lions,S Kaushik
972,2010,Royal Challengers Bangalore,Pankaj Singh
973,2016,Kolkata Knight Riders,Kuldeep Yadav
974,2011,Kings XI Punjab,PP Chawla
975,2017,Delhi Daredevils,SV Samson
976,2012,Mumbai Indians,CJ McKay
977,2011,Rajasthan Royals,AS Raut
978,2008,Kolkata Knight Riders,SC Ganguly
979,2011,Mumbai Indians,KA Pollard
980,2019,Rajasthan Royals,VR Aaron
981,2019,Kings XI Punjab,KL Rahul
982,2013,Delhi Daredevils,V Sehwag
983,2019,Royal Challengers Bangalore,TG Southee
984,2018,Kolkata Knight Riders,CA Lynn
985,2014,Mumbai Indians,Z Khan
986,2016,Mumbai Indians,JC Buttler
987,2010,Royal Challengers Bangalore,RE van der Merwe
988,2017,Kolkata Knight Riders,G Gambhir
989,2013,Kolkata Knight Riders,B Lee
990,2018,Royal Challengers Bangalore,AB de Villiers
991,2011,Kolkata Knight Riders,EJG Morgan
992,2008,Delhi Daredevils,GD McGrath
993,2019,Sunrisers Hyderabad,Basil Thampi
994,2008,Kings XI Punjab,LA Pomersbach
995,2013,Kings XI Punjab,MG Neser
996,2010,Kolkata Knight Riders,MB Parmar
997,2009,Delhi Daredevils,Y Nagar
998,2010,Rajasthan Royals,S Narwal
999,2018,Kolkata Knight Riders,SP Narine
1000,2012,Kolkata Knight Riders,R Bhatia
1001,2011,Kolkata Knight Riders,LR Shukla
1002,2008,Mumbai Indians,A Nel
1003,2009,Chennai Super Kings,M Vijay
1004,2013,Chennai Super Kings,SK Raina
1005,2014,Rajasthan Royals,SV Samson
1006,2017,Royal Challengers Bangalore,V Kohli
1007,2017,Kings XI Punjab,SE Marsh
1008,2011,Kings XI Punjab,KD Karthik
1009,2015,Kings XI Punjab,R Dhawan
1010,2016,Royal Challengers Bangalore,AB de Villiers
1011,2017,Gujarat Lions,BB McCullum
1012,2015,Royal Challengers Bangalore,NJ Maddinson
1013,2019,Kolkata Knight Riders,P Raj
1014,2012,Kolkata Knight Riders,M de Lange
1015,2016,Royal Challengers Bangalore,Sachin Baby
1016,2009,Royal Challengers Bangalore,B Akhil
1017,2015,Delhi Daredevils,Yuvraj Singh
1018,2013,Royal Challengers Bangalore,DT Christian
1019,2017,Royal Challengers Bangalore,TM Head
1020,2012,Mumbai Indians,AC Blizzard
1021,2015,Mumbai Indians,JJ Bumrah
1022,2013,Chennai Super Kings,CH Morris
1023,2008,Mumbai Indians,DJ Thornely
1024,2008,Deccan Chargers,AC Gilchrist
1025,2012,Kings XI Punjab,PC Valthaty
1026,2010,Kings XI Punjab,PP Chawla
1027,2015,Delhi Daredevils,J Yadav
1028,2019,Mumbai Indians,AS Yadav
1029,2008,Chennai Super Kings,P Amarnath
1030,2010,Delhi Daredevils,VY Mahesh
1031,2014,Delhi Daredevils,KP Pietersen
1032,2018,Kings XI Punjab,MP Stoinis
1033,2013,Pune Warriors,B Kumar
1034,2017,Kolkata Knight Riders,RV Uthappa
1035,2011,Delhi Daredevils,AM Salvi
1036,2019,Rajasthan Royals,M Lomror
1037,2019,Mumbai Indians,BB Sran
1038,2019,Delhi Capitals,RR Pant
1039,2012,Royal Challengers Bangalore,S Aravind
1040,2012,Deccan Chargers,DT Christian
1041,2019,Kolkata Knight Riders,CR Brathwaite
1042,2009,Delhi Daredevils,MK Tiwary
1043,2016,Royal Challengers Bangalore,Iqbal Abdulla
1044,2017,Royal Challengers Bangalore,Sachin Baby
1045,2010,Royal Challengers Bangalore,DW Steyn
1046,2016,Rising Pune Supergiants,PSP Handscomb
1047,2015,Delhi Daredevils,Z Khan
1048,2011,Kolkata Knight Riders,S Ladda
1049,2015,Sunrisers Hyderabad,Parvez Rasool
1050,2008,Royal Challengers Bangalore,AA Noffke
1051,2015,Mumbai Indians,AJ Finch
1052,2009,Delhi Daredevils,DL Vettori
1053,2008,Chennai Super Kings,L Balaji
1054,2008,Deccan Chargers,A Symonds
1055,2014,Rajasthan Royals,Iqbal Abdulla
1056,2011,Pune Warriors,TD Paine
1057,2018,Chennai Super Kings,SW Billings
1058,2018,Kings XI Punjab,BB Sran
1059,2015,Kings XI Punjab,Sandeep Sharma
1060,2017,Sunrisers Hyderabad,Mohammed Siraj
1061,2010,Rajasthan Royals,AA Jhunjhunwala
1062,2017,Royal Challengers Bangalore,KM Jadhav
1063,2010,Mumbai Indians,C Madan
1064,2016,Royal Challengers Bangalore,VR Aaron
1065,2013,Chennai Super Kings,WP Saha
1066,2010,Delhi Daredevils,AB McDonald
1067,2014,Mumbai Indians,K Santokie
1068,2012,Rajasthan Royals,DH Yagnik
1069,2011,Rajasthan Royals,PR Shah
1070,2018,Sunrisers Hyderabad,R Bhui
1071,2019,Kolkata Knight Riders,CA Lynn
1072,2012,Kings XI Punjab,N Saini
1073,2013,Pune Warriors,Parvez Rasool
1074,2012,Chennai Super Kings,MS Dhoni
1075,2014,Kolkata Knight Riders,MK Pandey
1076,2009,Royal Challengers Bangalore,JH Kallis
1077,2013,Kolkata Knight Riders,BB McCullum
1078,2013,Kings XI Punjab,BA Bhatt
1079,2010,Kolkata Knight Riders,Iqbal Abdulla
1080,2014,Rajasthan Royals,STR Binny
1081,2015,Delhi Daredevils,KM Jadhav
1082,2009,Mumbai Indians,AM Nayar
1083,2019,Mumbai Indians,A Roy
1084,2009,Royal Challengers Bangalore,RE van der Merwe
1085,2009,Delhi Daredevils,G Gambhir
1086,2008,Chennai Super Kings,M Ntini
1087,2010,Deccan Chargers,MD Mishra
1088,2011,Mumbai Indians,MM Patel
1089,2012,Kolkata Knight Riders,RN ten Doeschate
1090,2010,Rajasthan Royals,YK Pathan
1091,2008,Kolkata Knight Riders,M Kartik
1092,2017,Delhi Daredevils,S Nadeem
1093,2013,Kolkata Knight Riders,YK Pathan
1094,2010,Kings XI Punjab,VRV Singh
1095,2019,Royal Challengers Bangalore,AD Nath
1096,2010,Rajasthan Royals,GC Smith
1097,2011,Chennai Super Kings,JA Morkel
1098,2017,Sunrisers Hyderabad,V Shankar
1099,2010,Royal Challengers Bangalore,LRPL Taylor
1100,2008,Chennai Super Kings,SK Raina
1101,2012,Chennai Super Kings,DE Bollinger
1102,2015,Kolkata Knight Riders,YK Pathan
1103,2009,Royal Challengers Bangalore,R Vinay Kumar
1104,2013,Pune Warriors,AJ Finch
1105,2018,Delhi Daredevils,G Gambhir
1106,2015,Mumbai Indians,Harbhajan Singh
1107,2008,Delhi Daredevils,Shoaib Malik
1108,2011,Kochi Tuskers Kerala,RA Jadeja
1109,2014,Delhi Daredevils,NM Coulter-Nile
1110,2010,Delhi Daredevils,UT Yadav
1111,2008,Delhi Daredevils,AB de Villiers
1112,2015,Royal Challengers Bangalore,AB Dinda
1113,2016,Kolkata Knight Riders,C Munro
1114,2018,Chennai Super Kings,Imran Tahir
1115,2017,Kings XI Punjab,EJG Morgan
1116,2013,Kings XI Punjab,DJ Hussey
1117,2008,Kings XI Punjab,S Sohal
1118,2017,Gujarat Lions,SK Raina
1119,2010,Kings XI Punjab,M Kaif
1120,2015,Kings XI Punjab,SE Marsh
1121,2008,Royal Challengers Bangalore,Misbah-ul-Haq
1122,2013,Kings XI Punjab,P Awana
1123,2012,Chennai Super Kings,DJ Bravo
1124,2010,Chennai Super Kings,L Balaji
1125,2019,Kings XI Punjab,CH Gayle
1126,2012,Delhi Daredevils,UT Yadav
1127,2012,Mumbai Indians,SA Yadav
1128,2014,Delhi Daredevils,R Sharma
1129,2008,Delhi Daredevils,V Sehwag
1130,2010,Kings XI Punjab,IK Pathan
1131,2011,Kolkata Knight Riders,MV Boucher
1132,2017,Delhi Daredevils,CH Morris
1133,2013,Delhi Daredevils,BJ Rohrer
1134,2013,Kolkata Knight Riders,S Narwal
1135,2013,Pune Warriors,M Manhas
1136,2019,Chennai Super Kings,M Vijay
1137,2011,Kolkata Knight Riders,MK Tiwary
1138,2014,Rajasthan Royals,R Tewatia
1139,2009,Kings XI Punjab,VRV Singh
1140,2014,Royal Challengers Bangalore,NJ Maddinson
1141,2014,Chennai Super Kings,P Negi
1142,2018,Sunrisers Hyderabad,B Kumar
1143,2015,Kings XI Punjab,M Vijay
1144,2010,Deccan Chargers,AA Bilakhia
1145,2014,Chennai Super Kings,DJ Bravo
1146,2016,Sunrisers Hyderabad,EJG Morgan
1147,2019,Chennai Super Kings,SK Raina
1148,2012,Kings XI Punjab,AM Nayar
1149,2016,Gujarat Lions,RA Jadeja
1150,2018,Sunrisers Hyderabad,WP Saha
1151,2013,Mumbai Indians,MM Patel
1152,2012,Royal Challengers Bangalore,P Parameswaran
1153,2016,Kolkata Knight Riders,MK Pandey
1154,2009,Royal Challengers Bangalore,A Kumble
1155,2019,Delhi Capitals,SS Iyer
1156,2011,Mumbai Indians,AN Ahmed
1157,2011,Pune Warriors,AA Jhunjhunwala
1158,2017,Rising Pune Supergiant,BA Stokes
1159,2013,Delhi Daredevils,M Morkel
1160,2017,Rising Pune Supergiant,DT Christian
1161,2013,Rajasthan Royals,JP Faulkner
1162,2011,Royal Challengers Bangalore,LA Pomersbach
1163,2016,Mumbai Indians,J Suchith
1164,2018,Rajasthan Royals,H Klaasen
1165,2016,Mumbai Indians,MJ Guptill
1166,2018,Rajasthan Royals,K Gowtham
1167,2008,Royal Challengers Bangalore,S Chanderpaul
1168,2010,Delhi Daredevils,KM Jadhav
1169,2014,Royal Challengers Bangalore,SB Jakati
1170,2008,Chennai Super Kings,S Badrinath
1171,2017,Kings XI Punjab,I Sharma
1172,2011,Royal Challengers Bangalore,J Syed Mohammad
1173,2009,Kings XI Punjab,K Goel
1174,2012,Deccan Chargers,V Pratap Singh
1175,2008,Deccan Chargers,DNT Zoysa
1176,2019,Royal Challengers Bangalore,V Kohli
1177,2011,Pune Warriors,M Manhas
1178,2014,Kolkata Knight Riders,SP Narine
1179,2010,Delhi Daredevils,M Manhas
1180,2012,Rajasthan Royals,AL Menaria
1181,2012,Kings XI Punjab,DJ Hussey
1182,2019,Kolkata Knight Riders,R Singh
1183,2013,Kolkata Knight Riders,JH Kallis
1184,2011,Royal Challengers Bangalore,JJ van der Wath
1185,2009,Chennai Super Kings,R Ashwin
1186,2018,Delhi Daredevils,V Shankar
1187,2008,Rajasthan Royals,SK Trivedi
1188,2017,Rising Pune Supergiant,A Zampa
1189,2011,Pune Warriors,GC Smith
1190,2009,Royal Challengers Bangalore,LRPL Taylor
1191,2019,Kings XI Punjab,AJ Tye
1192,2011,Chennai Super Kings,S Randiv
1193,2016,Mumbai Indians,RG Sharma
1194,2016,Mumbai Indians,HH Pandya
1195,2015,Sunrisers Hyderabad,DA Warner
1196,2008,Chennai Super Kings,S Vidyut
1197,2014,Kings XI Punjab,CA Pujara
1198,2016,Sunrisers Hyderabad,BCJ Cutting
1199,2013,Kings XI Punjab,PC Valthaty
1200,2016,Royal Challengers Bangalore,T Shamsi
1201,2009,Deccan Chargers,WPUJC Vaas
1202,2010,Kolkata Knight Riders,AD Mathews
1203,2012,Delhi Daredevils,GJ Maxwell
1204,2013,Rajasthan Royals,SV Samson
1205,2016,Royal Challengers Bangalore,KW Richardson
1206,2014,Royal Challengers Bangalore,M Muralitharan
1207,2019,Sunrisers Hyderabad,V Shankar
1208,2009,Rajasthan Royals,GC Smith
