,Player,Total_Batting_Weight,Total_Bowling_Weight,Total_Weight
226,Mandeep Singh,3.75625,0.00000,3.75625
227,AC Gilchrist,3.72292,0.00000,3.72292
228,,0.00000,3.71464,3.71464
229,KK Nair,3.67083,0.00000,3.67083
230,Ishan Kishan,3.65313,0.00000,3.65313
231,,0.00000,3.63445,3.63445
232,AJ Finch,3.61459,0.00000,3.61459
233,,0.00000,3.60968,3.60968
234,LRPL Taylor,3.60208,0.00000,3.60208
235,GJ Bailey,3.59896,0.00000,3.59896
236,M Vohra,3.58542,0.00000,3.58542
237,C Munro,3.56563,0.00000,3.56563
238,SS Iyer,3.56563,0.00000,3.56563
239,,0.00000,3.53656,3.53656
240,,0.00000,3.53303,3.53303
241,,0.00000,3.51535,3.51535
242,N Saini,0.66354,2.84907,3.51261
243,S Dhawan,3.48126,0.00000,3.48126
244,,0.00000,3.45992,3.45992
245,AS Raut,3.41667,0.00000,3.41667
246,BB McCullum,3.41146,0.00000,3.41146
247,DB Das,3.38437,0.00000,3.38437
248,DPMD Jayawardene,3.31667,0.00000,3.31667
249,SS Tiwary,3.31042,0.00000,3.31042
250,MK Pandey,3.28229,0.00000,3.28229
251,,0.00000,3.22407,3.22407
252,MA Agarwal,3.18854,0.00000,3.18854
253,AM Rahane,3.18750,0.00000,3.18750
254,G Gambhir,3.17917,0.00000,3.17917
255,S Badrinath,3.17605,0.00000,3.17605
256,,0.00000,3.16510,3.16510
257,,0.00000,3.16393,3.16393
258,MEK Hussey,3.16354,0.00000,3.16354
259,,0.00000,3.14388,3.14388
260,MK Tiwary,3.14167,0.00000,3.14167
261,LMP Simmons,3.13229,0.00000,3.13229
262,,0.00000,3.12619,3.12619
263,C Ingram,3.07396,0.00000,3.07396
264,,0.00000,3.05897,3.05897
265,,0.00000,3.05425,3.05425
266,DB Ravi Teja,3.04688,0.00000,3.04688
267,M Vijay,2.98646,0.00000,2.98646
268,EJG Morgan,2.91042,0.00000,2.91042
269,S Anirudha,2.89583,0.00000,2.89583
270,NV Ojha,2.85521,0.00000,2.85521
